Rank,Artist,Album,Year
32,Bon Iver, Bon Iver ,2011
31,Beyoncé, 4 ,2011
30,Mitski, Puberty 2 ,2016
29,Deerhunter, Halcyon Digest ,2010
28,FKA twigs, LP1 ,2014
27,Earl Sweatshirt, Some Rap Songs ,2018
26,Angel Olsen, Burn Your Fire for No Witness ,2014
25,Jamie xx, In Colour ,2015
24,SZA, CTRL ,2017
23,Kacey Musgraves, Golden Hour ,2018
22,Destroyer, Kaputt ,2011
21,Beach House, Teen Dream ,2010
20,DJ Rashad, Double Cup ,2013
19,Lana Del Rey, Norman Fucking Rockwell! ,2019
18,Kendrick Lamar," good kid, m.A.A.d. city ",2012
17,Sufjan Stevens, Carrie & Lowell ,2015
16,Joanna Newsom, Have One on Me ,2010
15,Kanye West, Yeezus ,2013
14,Lorde, Melodrama ,2017
13,Drake, Take Care ,2011
12,Rihanna, ANTI ,2016
11,Grimes, Art Angels ,2015
10,Frank Ocean, Channel Orange ,2012
9,D’Angelo & the Vanguard, Black Messiah ,2014
8,Robyn, Body Talk ,2010
7,Vampire Weekend, Modern Vampires of the City ,2013
6,Solange, A Seat at the Table ,2016
5,Fiona Apple, The Idler Wheel Is Wiser Than the Driver of the Screw and Whipping Cords Will Serve You More Than Ropes Will Ever Do ,2012
4,Kendrick Lamar, To Pimp a Butterfly ,2015
3,Beyoncé, Beyoncé ,2013
2,Kanye West, My Beautiful Dark Twisted Fantasy ,2010
1,Frank Ocean, Blonde ,2016
